physionet,import,super_table_col_name,component_id,component
No,No,not_reviewed,618860906,Amylase BF Type
No,No,not_reviewed,1512658,Transferrin Level
No,No,not_reviewed,618860963,HIV Ag/Ab Interpretation
No,No,not_reviewed,1514023,Factor V (5) Level
No,No,not_reviewed,1514499,CONC
No,No,not_reviewed,1514655,Cancer Antigen GI 19 9
No,No,not_reviewed,1513696,Immunfixation Interpretation
No,No,not_reviewed,749082287,"Lactate, Venous, POCT"
No,No,not_reviewed,1513760,Howell Jolly Bodies
No,No,not_reviewed,330176401,QFT Mitogen-NIL
No,No,not_reviewed,330176066,QFT NIL
No,No,not_reviewed,1512366,Urine Protein Electrophoresis
No,No,not_reviewed,2232976445,POCT Urine Preg RALS
No,No,not_reviewed,1513119,PROTCONC
No,No,not_reviewed,1514742,Chlam/GC Specimen Type
No,No,not_reviewed,116544526,BK Virus Log Report
No,No,not_reviewed,71791548,BK Virus DNA Plasma PCR
No,No,not_reviewed,1514118,Fibrin Monomer
No,No,not_reviewed,1512911,Rheumatoid Factor
No,No,not_reviewed,2190421097,CRRT Circuit Ionized Calcium
No,No,not_reviewed,1512683,Thrombin Antithrombin Complexes
No,No,(grouping)_fluid_body,618860918,Creatinine BF Type
No,No,(grouping)_fluid_body,1514779,Creatinine Body Fluid
Yes,Yes,creatinine,1107026088,Creatinine POCT 2
No,No,not_reviewed,1513263,Prothrombin Fragment 1.2
No,No,not_reviewed,1512439,Protein Urine 24 Hour
No,No,not_reviewed,5432534,Herpes Simplex DNA Cerebrospinal Fluid
No,No,not_reviewed,804096187,Anti-Hepatitis A Virus IgG
No,No,not_reviewed,2703026263,Plasma Hemoglobin (ECMO)
No,No,not_reviewed,651859735,Vacuolated Neutrophils
No,No,not_reviewed,306576109,Extractable Nuclear Antigen Screen
No,No,not_reviewed,1515042,Alpha Fetoprotein Tumor Marker
No,No,not_reviewed,1514076,Free Kappa/Lambda Ratio
No,No,not_reviewed,1514077,Free Kappa
No,No,not_reviewed,1514074,Free Lambda
No,No,not_reviewed,455049898,P2Y12 Response
No,No,not_reviewed,1512639,Thrombin Time
No,No,not_reviewed,397754620,Path MOCHA Interp
No,No,not_reviewed,159085925,"O2 Saturation, Venous, POCT"
No,No,not_reviewed,1513666,Interleukin 6
No,No,not_reviewed,158912453,"PH, Venous, POCT"
No,No,not_reviewed,158912512,"PCO2, Venous, POCT"
No,No,not_reviewed,158912516,"PO2, Venous, POCT"
No,No,not_reviewed,749093058,Neutrophil CSF Tube 4
No,No,not_reviewed,1513067,Phenytoin Level Total
No,No,not_reviewed,6711555,Aspergillus Galactomannan Index
No,No,not_reviewed,1512715,SSA/RO Antibody IgG Titer
No,No,not_reviewed,145281584,"F-Actin Antibody, IGG"
No,Yes,crp_high_sens,1514412,CRP High Sensitivity
No,No,not_reviewed,1512713,SSB/LA Antibody IgG Titer
No,No,not_reviewed,651859067,OR VEN O2 CONTENT
No,No,not_reviewed,1512896,Histoplasma Antigen Urine Random
No,No,not_reviewed,749490093,Histoplasma Interpretation Urine
No,No,not_reviewed,1512916,Retinyl Palmitate
No,No,not_reviewed,1512917,Retinol (Vitamin A)
No,No,not_reviewed,1512248,Vitamin A Interpretation
No,No,not_reviewed,1513011,Albumin Level Urine Random
No,No,not_reviewed,1905391,BM M:ECALC
No,No,not_reviewed,1513848,Hepatitis A Interpretation
No,No,not_reviewed,1512775,Selenium Level
No,No,(grouping)_urine,1513002,Albumin/Creatinine Ratio Urine
No,No,not_reviewed,1512932,Renal Epi/HPF
No,No,not_reviewed,145296016,"Mitochondrial M2 Antibody, IGG"
No,No,not_reviewed,749080356,"Platelets, Hypogranular"
No,No,not_reviewed,1512736,Smith Antibody IgG Titer
No,No,not_reviewed,1512782,SCL70 Antibody IgG Titer
No,No,not_reviewed,1513224,Plasma Hemoglobin
No,No,not_reviewed,1514167,Factor V Leiden
No,No,not_reviewed,278352425,Hepatitis B DNA Quantification
No,No,not_reviewed,278354131,Hepatitis B DNA Quant Log
No,No,not_reviewed,306567264,JO1 Antibody IgG Titer
No,No,not_reviewed,2703040901,"Estimated GFR, MDRD Equation, POCT"
No,No,not_reviewed,749485541,Influenza A 2009 H1N1 PCR
No,No,not_reviewed,749485610,Influenza PCR Interpretation
No,No,not_reviewed,1512856,RNP Antibody IgG Titer
No,No,not_reviewed,1515000,ALLOFLOWXM
No,No,not_reviewed,306581713,dsDNA Antibody IgG Interpretation
No,No,not_reviewed,1905390,BM TOTCELL
No,No,not_reviewed,1513072,PT Gene Mutation by PCR
No,No,not_reviewed,1905385,BM MYELO
No,No,not_reviewed,2817154543,QFT TB2-NIL
No,No,not_reviewed,2817154987,Quantiferon TB Gold Plus Result
No,No,not_reviewed,2793100563,QFT TB1-NIL
No,No,not_reviewed,1905388,BM LATNORM
No,No,not_reviewed,1905387,BM EARNORM
No,No,not_reviewed,1512860,Nicotine Urine Random
No,No,not_reviewed,1512959,Cotinine Urine Random
No,No,not_reviewed,1512861,Total Nicotine+Cotinine Urine Random
No,No,not_reviewed,1514694,Busulfan Level
No,No,not_reviewed,5432538,Herpes Simplex DNA
No,No,not_reviewed,6711554,Aspergillus Galactomannan Ag
No,No,not_reviewed,23740287,Carnitine Total
No,Yes,cortisol,1514481,Cortisol Serum Baseline
No,No,not_reviewed,306567529,Centromere Antibody IgG Titer
No,No,not_reviewed,1512553,Toxoplasma IGM
No,No,not_reviewed,1512552,Toxoplasma Interpretation
No,No,not_reviewed,1512554,Toxoplasma IGG
No,No,not_reviewed,1514906,Antiprothrombin Antibody IgG
No,No,not_reviewed,1521559,Antiphosphatidylserine Antibody IgG
No,No,not_reviewed,1521560,Antiphosphatidylserine Antibody IgM
No,Yes,hemoglobin_a1c,1513815,Hemoglobin A1
No,No,not_reviewed,1513908,Hemoglobin Other
No,No,not_reviewed,1513808,Hemoglobin Fetal
No,No,not_reviewed,1513912,Hemoglobin Electrophoresis.
No,No,not_reviewed,1513813,Hemoglobin C
No,No,not_reviewed,749080833,Sickle Cell Solubility
No,No,not_reviewed,1513805,Hemoglobin S
No,No,not_reviewed,1513814,Hemoglobin A2
No,No,not_reviewed,1513811,Hemoglobin E
No,No,not_reviewed,1514482,Cortisol Serum-60 minutes
No,No,(grouping)_urine,1514547,Creatinine Clearance
No,No,not_reviewed,1514483,Cortisol Serum 30 minutes
No,No,not_reviewed,844760051,Hemoglobin Capillary Electrophoresis
No,No,not_reviewed,1512218,Varicella Zoster Result
No,No,not_reviewed,1512219,Varicella Zoster Interpretation
No,No,not_reviewed,342822384,Carnitine: Esterified/Free
No,No,not_reviewed,342822267,Carnitine Free
No,No,not_reviewed,342822128,"Carnitine, Esterified"
No,No,not_reviewed,749093129,Body Fluid Type for pH
No,No,not_reviewed,1514760,pH Body Fluid
No,No,not_reviewed,186736428,Eosinophil CSF Shunt (EVD)
No,No,not_reviewed,618861094,Stomatocyte
No,No,not_reviewed,1514448,C-Peptide
No,No,not_reviewed,1512240,Vitamin D 1 25 Dihydroxy Level
No,No,not_reviewed,1513656,Index
No,No,not_reviewed,321871795,T-Spot TB Result
No,No,not_reviewed,1512261,VDRL Titer Cerebrospinal Fluid
No,No,not_reviewed,321872637,Panel B Spot Count
No,No,not_reviewed,321872921,Positive Control Spot Count
No,No,not_reviewed,1512262,VDRL Cerebrospinal Fluid
No,No,not_reviewed,321872248,Nil (Neg) Control Spot Count
No,No,not_reviewed,321872391,Panel A Spot Count
No,No,not_reviewed,1513129,Prolactin Level
No,No,not_reviewed,1515073,Angiotensin Converting Enzyme
No,No,not_reviewed,1516145,PAT TEMP
No,No,not_reviewed,618860951,Triglycerides BF Type
No,No,not_reviewed,1514749,Triglyceride Body Fluid
No,No,not_reviewed,2811918699,EXTEM A20
No,No,not_reviewed,2811917263,EXTEM A10
No,No,not_reviewed,2811920625,EXTEM MCF
No,No,not_reviewed,2811911281,EXTEM CT
No,No,not_reviewed,2811914939,EXTEM Alpha angle
No,No,not_reviewed,2811912839,EXTEM CFT
No,No,not_reviewed,2811935577,FIBTEM MCF
No,No,not_reviewed,2811926467,FIBTEM A10
No,No,not_reviewed,2811934431,FIBTEM A20
No,No,not_reviewed,665486914,"pCO2, Ven - Anes"
No,No,not_reviewed,665490877,"pH, Ven - Anes"
No,No,not_reviewed,665486950,"pO2, Ven - Anes"
No,No,(grouping)_venous_blood_gas,665486986,"Bicarbonate, Ven - Anes"
No,No,not_reviewed,665487066,"O2Hb, Ven - Anes"
No,No,not_reviewed,665487022,"Base Excess, Ven - Anes"
No,No,not_reviewed,1514946,ANARESULT
No,No,not_reviewed,1512845,Rouleaux
No,No,not_reviewed,618861052,Bite Cell
No,No,not_reviewed,68357967,HLA Donor Specific Antibody
No,No,not_reviewed,1513556,Lithium Level
No,No,not_reviewed,1515109,Alpha1 AntiTrypsin Level
No,No,not_reviewed,1512228,"PH, Venous CLH"
No,No,not_reviewed,1513692,Immunoglobulin IgE Level Total
No,No,not_reviewed,1513753,Homocysteine Total
No,No,not_reviewed,11198202,Methylmalonic Acid
No,No,not_reviewed,618861102,Vacuolated Monocytes
No,No,not_reviewed,5432533,CMV DNA Quantitation Cerebrospinal Fluid
No,No,not_reviewed,1476033013,Silica Clotting Time Screen Ratio
No,No,not_reviewed,1476041457,DRVVT Screen Ratio
No,No,not_reviewed,381172718,VZV on CSF by PCR
No,No,not_reviewed,905331848,Tacrolimus (FK506-Prograf) Level ESJH
No,No,not_reviewed,1514014,Glucose 6 Phosphate Dehyro
No,No,not_reviewed,1513425,Miscellaneous Referral
No,No,not_reviewed,1514699,Beta/Gamma Tocopherol
No,No,not_reviewed,1514880,Alpha Tocopherol
No,No,not_reviewed,330177004,QFT TB-NIL
No,No,not_reviewed,293269746,Quantiferon TB Gold
No,No,not_reviewed,1514801,Basophil Body Fluid
No,No,not_reviewed,1513311,Plasminogen Activator Inhibitor-1
No,No,not_reviewed,853845160,Quantiferon TB Gold Interpretation
No,No,not_reviewed,844756952,Urine Immunofixation Interp
No,No,not_reviewed,2811922481,EXTEM ML
No,No,not_reviewed,71795988,EBV DNA by PCR Cerebrospinal Fluid
No,No,not_reviewed,1513122,Protein C Activity Level
No,No,not_reviewed,1512579,Tobramycin Level Random
No,No,not_reviewed,1513274,Pelg Huet Forms
No,No,not_reviewed,321871946,T-Spot Interpretation
No,No,not_reviewed,1513300,Pappenheimer Bodies
No,No,not_reviewed,1521564,Antiphosphatidylserine Interpretation
No,No,not_reviewed,1513336,"O2 Saturation, Venous CLH"
No,No,not_reviewed,1513280,"PCO2, Venous CLH"
No,No,not_reviewed,1513204,"PO2, Venous CLH"
No,No,not_reviewed,749093152,Body Fluid Type for Crystals
No,No,not_reviewed,1514778,Body Fluid Crystals
No,No,not_reviewed,1515011,Aldosterone
No,No,not_reviewed,1513619,Levetiracetam Level
No,No,not_reviewed,5432542,Cyclic Citrullinated Peptide AB IgG Titr
No,No,not_reviewed,1514674,Cancer Antigen 125
No,No,not_reviewed,2811940929,HEPTEM A10
No,No,not_reviewed,2811938865,HEPTEM CFT
No,No,not_reviewed,2811942121,HEPTEM A20
No,No,not_reviewed,2811939857,HEPTEM Alpha angle
No,No,not_reviewed,2811937903,HEPTEM CT
No,No,not_reviewed,2811943539,HEPTEM MCF
No,No,not_reviewed,749082214,"O2 Delivery, Blood Gas, POCT"
No,No,not_reviewed,263948427,TSH Receptor Antibody
Yes,Yes,fio2,749082182,"FiO2, Blood Gas, POCT"
Yes,Yes,hemoglobin,455057599,"Hemoglobin, POCT"
No,No,not_reviewed,1515055,Adrenocorticotropic Hormone Level
No,No,not_reviewed,1513115,Protein S Activity Level
No,No,not_reviewed,1512807,Rubella Antibody IgG
No,No,not_reviewed,1512931,Renin Activity
No,No,not_reviewed,1513376,Myoglobin
No,No,not_reviewed,1514597,CD4/CD8 Ratio
No,No,not_reviewed,1512827,RPR Titer
No,No,not_reviewed,186736416,Xanthochromia CSF Shunt (EVD)
No,No,not_reviewed,186736413,Appearance CSF Shunt (EVD)
No,No,not_reviewed,1514852,Beta 2 Microglobulin Level
No,No,not_reviewed,1521562,Chromogenic  Factor X  Level
No,No,not_reviewed,1514590,%CD8
No,No,not_reviewed,1515170,Absolute #CD8 Cells
No,No,not_reviewed,406409867,ANA by Immunofluorescence
No,No,not_reviewed,1513512,Lupus Interpretation
No,No,not_reviewed,905247655,Allen Test POCT
No,No,(grouping)_urine,749092805,"Creatinine, Urine - per Volume"
No,No,not_reviewed,1513681,Immunoglobulin G Subclass 4
No,No,not_reviewed,1513249,Phenobarbital Level
No,No,not_reviewed,749092777,Time Urine
No,No,not_reviewed,749092801,Volume Urine
No,No,not_reviewed,665495419,"HCO3, Venous OR"
No,No,(grouping)_urine,749092843,"Creatinine, Urine - per 24h"
No,No,not_reviewed,1513742,Helicobacter Pylori Antibody IgG
No,No,not_reviewed,1514984,Anti-Thyroid Peroxidase
No,No,not_reviewed,1291848029,"Lactate, Venous"
No,No,not_reviewed,186736443,Other Cells Identified CSF Shunt (EVD)
No,No,not_reviewed,1515108,Alpha 1 Antitrypsin Phenotype
No,No,not_reviewed,186736440,Other Cells CSF Shunt (EVD)
No,No,not_reviewed,1514185,Erythropoietin  Level
No,No,not_reviewed,245582425,Rapid HIV Qualitative Test
No,No,covid_ab,3532516077,Coronavirus CoVID19 Antibody IgG
No,No,not_reviewed,206009162,Serotonin Release Assay High Dose UFH
No,No,not_reviewed,206009415,Serotonin Release Assay Interpretation
No,No,not_reviewed,68357386,Serotonin Release Assay Low Dose UFH
No,No,not_reviewed,206009316,Serotonin Release Assay Result
No,No,not_reviewed,896876698,Tricyclics Screen ESJH
No,No,not_reviewed,896875045,THC Screen ESJH
No,No,not_reviewed,896874498,Cocaine Screen ESJH
No,No,not_reviewed,896874219,Benzodiazepine Screen ESJH
No,No,not_reviewed,896875783,Opiate Screen ESJH
No,No,not_reviewed,896875343,Methadone Screen ESJH
No,No,not_reviewed,896873972,Barbiturate Screen ESJH
No,No,not_reviewed,896873699,Amphetamine Screen ESJH
No,No,not_reviewed,912334685,Phencyclidine Screen ESJH
No,No,not_reviewed,2811944725,HEPTEM ML
No,No,not_reviewed,2811903487,INTEM A10
No,No,not_reviewed,2811904983,INTEM A20
No,No,not_reviewed,2811906427,INTEM MCF
No,No,not_reviewed,2811901351,INTEM Alpha angle
No,No,not_reviewed,2811894337,INTEM CT
No,No,not_reviewed,1512224,Von Willebrand Factor Antigen
No,No,not_reviewed,2811897651,INTEM CFT
No,No,not_reviewed,465754173,Cholesterol Body Fluid
No,No,not_reviewed,1512253,Viscosity Plasma
No,No,not_reviewed,1513640,Insulin
No,No,not_reviewed,2327235177,T. vag RNA
No,No,not_reviewed,757991560,CSF Enterovirus PCR
No,No,not_reviewed,381173010,Adenovirus by PCR
No,No,not_reviewed,381173129,Adenovirus Specimen Type
No,No,not_reviewed,1515067,Acetyl Receptor Striational
No,No,not_reviewed,2327235351,CT-GC-Tri Specimen
No,No,not_reviewed,1512418,Uric Acid Crystals/HPF
No,No,not_reviewed,1176844172,Troponin-I High Result
No,No,not_reviewed,3406406625,C. difficile Toxin EIA
No,No,not_reviewed,3406409785,C. difficile Interp
No,No,not_reviewed,9424576,"Parvovirus B19, By PCR"
No,No,not_reviewed,9424577,Parvovirus Source
No,No,not_reviewed,1514258,HLA Class II Type by Molecular Low Resol
No,No,not_reviewed,321864896,Anti-Ganglionic Neuronal AChR
No,No,not_reviewed,1515102,HLA Class I Type by Molecular Low Resol
No,No,not_reviewed,1513712,Hyperseg
No,No,not_reviewed,321859401,ANNA2 Paraneoplastic Eval
No,No,not_reviewed,321861286,Anti P/Q Type Calcium Channel
No,No,not_reviewed,321860384,Anti-Purkinje Cell Cytoplasm 2
No,No,not_reviewed,321860966,Anti-Collapsin Resp Med Prot 5
No,No,not_reviewed,321859613,ANNA3 Paraneoplastic Eval
No,No,not_reviewed,321860171,Anti-Purkinje Cell Cytoplasm 1
No,No,not_reviewed,321859711,Anti-Glial Nuclear
No,No,not_reviewed,321859264,ANNA1 Paraneoplastic Eval
No,No,not_reviewed,321860537,Anti-Purkinje Cell Cytoplasm TR
No,No,not_reviewed,321864656,Anti N-Type Calcium Channel
No,No,not_reviewed,321860781,Anti-Amphiphysin
No,No,not_reviewed,2595694435,Syphilis Antibody IgG and IgM Total
No,No,not_reviewed,1513990,Gentamicin Level Random
No,No,not_reviewed,1515072,Acetyl Receptor Binding
No,No,not_reviewed,3164800585,Pneumocystis jirovecii DNA
No,No,not_reviewed,1512496,Tissue Transglutaminase IgA
No,No,not_reviewed,3550676805,SARSCOV2 IgG Result
No,No,not_reviewed,45035758,Thyroglobulin Antibody
No,No,not_reviewed,2811908393,INTEM ML
No,No,not_reviewed,1514646,Cat Scratch IGG
No,No,not_reviewed,1514645,Cat Scratch IGM
No,No,not_reviewed,1513820,HLA Cell Freeze
No,No,not_reviewed,465749464,CSF IgG Synthesis Rate
No,No,not_reviewed,465749524,CSF IgG/Albumin Ratio
No,No,not_reviewed,1514013,Glutamic Acid Decarboxylase Antibody
No,No,not_reviewed,1513686,IgG Index
No,No,not_reviewed,465749384,Immunoglobulin G Blood
No,No,not_reviewed,1512755,Albumin Level Serum
No,No,not_reviewed,465749398,Immunoglobulin G CSF
No,No,not_reviewed,465749443,Albumin Index
No,No,not_reviewed,465749367,Albumin Cerebrospinal Fl
No,No,not_reviewed,465749505,CSF Oligoclonal Interpretation
No,No,not_reviewed,465749491,CSF Oligoclonal Bands
No,No,not_reviewed,465749552,"Oligo Bands, CSF/Serum Number"
No,No,not_reviewed,397751423,Path Lupus Interp
No,No,not_reviewed,186736242,Appearance CSF Tube 1
No,No,not_reviewed,186736245,Xanthochromia CSF Tube 1
No,No,not_reviewed,1513989,Gentamicin Level Trough
No,No,not_reviewed,321865000,Anti-Voltage Gated K Channel
No,No,not_reviewed,406411737,T3 Uptake
No,No,not_reviewed,3588082799,EBV DNA by PCR Log-Ref Lab
No,No,not_reviewed,3588085021,EBV DNA by PCR-Ref Lab
No,No,not_reviewed,3588078711,EBV DNA by PCR Interp-Ref Lab
No,No,not_reviewed,1513606,Lamotrigine Level
No,No,not_reviewed,1515012,Aldolase
No,No,not_reviewed,358439742,HLA Deceased Donor Type
No,No,not_reviewed,1695129779,Cholesterol Body Fluid Source
No,No,not_reviewed,186736321,Number Cells Counted On CSF Diff Tube 2
No,No,not_reviewed,186736290,Nucleated Count CSF Tube 2
No,No,not_reviewed,1513709,Hypogran
No,No,not_reviewed,68504218,HLA Consult Report
No,No,not_reviewed,1514409,Cryoglobulin
No,No,not_reviewed,186736294,Rbc Count CSF Tube 2
No,No,not_reviewed,9424574,Helicobacter Pylori Antigen
No,No,not_reviewed,1513793,Histoplasma Antibody
No,No,not_reviewed,1521557,Anti Annexin V IGM
No,No,not_reviewed,1521556,Anti Annexin V IGG
No,No,not_reviewed,1512289,Total Protein Urine 24 Hour
No,No,not_reviewed,1512476,TVIMM
No,No,not_reviewed,1512600,TIMEIMM
No,No,not_reviewed,145295181,"Smooth Muscle Antibody, IGG Titer"
No,No,not_reviewed,618860967,Paraprotein/24 hours
No,No,not_reviewed,1513482,Manganese Level
No,No,not_reviewed,651859255,ANA Titer/Pattern SJH
No,No,not_reviewed,3569788355,ePlex SARS-CoV-2 by PCR
No,No,not_reviewed,1513404,Mononucleosis Screen
No,No,not_reviewed,2793021827,"Aspergillus Galactomannan Antigen, BAL"
No,No,not_reviewed,321874162,Miscellaneous Mayo Medical Lab
No,No,not_reviewed,186736431,Basophil CSF Shunt (EVD)
No,No,not_reviewed,1513380,Mycoplasma Antibody
No,No,not_reviewed,1250823703,Ethyl Glucuronide Screen Urine Random
No,No,not_reviewed,8869264,Metanephrine Interpretation
No,No,not_reviewed,651859011,Color CSF Tube 2
No,No,not_reviewed,1107018196,Clarity CSF Tube 2
No,No,not_reviewed,1521463,Normetanephrine Free
No,No,not_reviewed,1521464,Metanephrine Free
No,No,not_reviewed,321859009,Mayo Referral Test Comment
No,No,not_reviewed,1513881,Hepatitis C Virus Genotype
No,No,not_reviewed,1512580,Tobramycin Level Peak
No,No,not_reviewed,1514507,Coccidioides Antibody
No,No,not_reviewed,1512695,Syphillis Antibody IgG
No,No,not_reviewed,1513502,Borrelia Burgdorferi Antibody
No,No,not_reviewed,1514721,Blastomyces Antibody
No,No,not_reviewed,465751654,Rupture of Membrane
No,No,not_reviewed,1513804,Human Growth Hormone
No,No,not_reviewed,186736309,Lymphocyte CSF Tube 2
No,No,not_reviewed,1090184162,Methylenedioxyamphetamine Conf Urine R
No,No,not_reviewed,1090184545,Methylenedioxymethamphetamine Conf Ur R
No,No,not_reviewed,1090183933,Methamphetamine Confirmation Urine R
No,No,not_reviewed,1090184407,Methylenedioxyethylamphetamine Conf Ur R
No,No,not_reviewed,1090183777,Amphetamine Confirmation Urine R
No,No,not_reviewed,1788451,Liver Kidney Microsome Antibody
No,No,not_reviewed,418974818,Free Thyroxine Index.
No,No,not_reviewed,1514069,Follicle Stimulating Hormone Level
No,No,not_reviewed,418974211,Thyroxine Level.
No,No,not_reviewed,186736370,Appearance Tube 4
No,No,not_reviewed,186736373,Xanthochromia Tube 4
No,No,(grouping)_fluid_body,618860947,Total Bilirubin BF Type
No,No,(grouping)_fluid_body,1514754,Bilirubin Body Fluid
No,No,not_reviewed,1515031,Antiglomerular Base Membrane Antibody
No,No,not_reviewed,1512923,Ethanol Urine Random
No,No,not_reviewed,1513762,HIV Genotype
No,No,not_reviewed,1512703,Strongyloides Antibody IGG
No,No,not_reviewed,1513985,Giardia Antigen Feces
No,No,not_reviewed,21517705,Phenylketonuria (PKU) Screen
No,No,not_reviewed,45036532,MPA Phenol Glucuronide
No,No,not_reviewed,1513395,Mycophenolic Acid Level
No,No,not_reviewed,1513558,Luteinizing Hormone Level
No,No,not_reviewed,1521478,Amphetamine Level
No,No,not_reviewed,619393576,Oxycodone Level
No,No,not_reviewed,749078275,Drug Screen Interpretation
No,No,not_reviewed,1521480,Methadone Level
No,No,not_reviewed,1521475,Cocaine Metabolites
No,No,not_reviewed,1521481,Phencyclidine Level
No,No,not_reviewed,1521474,Opiate Level
No,No,not_reviewed,1521476,Benzodiazepine Level
No,No,not_reviewed,619394203,Methamphetamine Level
No,No,not_reviewed,1521479,Barbiturate Level
No,No,not_reviewed,1521477,Cannabinoid Level
No,No,not_reviewed,1513684,Immunoglobulin G Subclass 1
No,No,not_reviewed,665486942,"pCO2, Cap-R"
No,No,not_reviewed,665486978,"pO2, Cap-R"
No,No,not_reviewed,665491381,"pH, Cap-R"
No,No,not_reviewed,1513682,Immunoglobulin G Subclass 3
No,No,not_reviewed,665487014,"HCO3, Cap-R"
No,No,not_reviewed,1513683,Immunoglobulin G Subclass 2
No,No,not_reviewed,665487050,"Base Excess, Cap-R"
No,No,not_reviewed,749513785,NMO/AQP4 IgG
No,No,not_reviewed,1250821303,O2Hb Cap-R
No,No,not_reviewed,3637911515,Simplexa SARS-CoV-2 by PCR
No,No,not_reviewed,186736272,Other Cells CSF Tube 1
No,No,not_reviewed,186736260,Eosinophil CSF Tube 1
No,No,not_reviewed,3451016403,"(1,3)-Beta-D-Glucan Interp"
No,No,not_reviewed,3451016367,"(1,3)-Beta-D-Glucan (Fungitell)"
No,No,not_reviewed,1144963088,Bronchial Epithelial Cells Body Fluid
No,No,not_reviewed,1514443,Carbamazepine Level
No,No,not_reviewed,1514905,Antiprothrombin Antibody IgM
No,No,not_reviewed,665494870,"Oxygen Saturation, Cord - Resp"
No,No,not_reviewed,3550754397,SARSCOV2 IgG OD
No,No,not_reviewed,45034840,Vitamin K
No,No,not_reviewed,1512892,KCT Rosner Index
No,No,not_reviewed,1514245,DRVVT Ratio
No,No,not_reviewed,1513056,PTT Lupus Patient
No,No,not_reviewed,1513068,Parathyroid Hormone Related Protein
No,No,not_reviewed,1514886,Aspergillus Antibody
No,No,not_reviewed,263950183,Celiac Reflexive Panel IGA
No,No,not_reviewed,1512734,Somatomedin C
No,No,not_reviewed,1513130,Proinsulin Level
No,No,not_reviewed,342809452,"Pancreatic Elastase, Fecal"
No,No,not_reviewed,186736275,Other Cells Identified CSF Tube 1
No,No,not_reviewed,1513830,Herpes 2 IGG Antibody
No,No,not_reviewed,1512884,Ristocetin Cofactor
No,No,not_reviewed,6110448,West Nile Ab IGM Cerebrospinal Fluid
No,No,not_reviewed,145295462,Myeloperox Antibody Reflex
No,No,not_reviewed,1514467,Coxsackie B2 Virus
No,No,not_reviewed,1514463,Coxsackie B6 Virus
No,No,not_reviewed,1514464,Coxsackie B5 Virus
No,No,not_reviewed,1514468,Coxsackie B1 Virus
No,No,not_reviewed,1512665,Testosterone Total
No,No,not_reviewed,1514465,Coxsackie B4 Virus
No,No,not_reviewed,1514466,Coxsackie B3 Virus
No,Yes,parathyroid_level,1513636,Intraoperative Parathyroid Hormone
No,No,not_reviewed,186736312,Macrophage CSF Tube 2
No,No,not_reviewed,397751581,Path APS Interp
No,No,not_reviewed,186736364,Number Cells Counted On CSF Diff Tube 3
No,No,not_reviewed,749513013,Stone Size
No,No,not_reviewed,1513481,Stone Mass
No,No,not_reviewed,749512948,Stone Number
No,No,not_reviewed,749512800,Stone Description
No,No,not_reviewed,1514500,Calculi Composition
No,No,not_reviewed,186736334,Nucleated Count CSF Tube 3
No,No,not_reviewed,1513618,Serum Ketones
No,No,not_reviewed,3026313011,ANA Interpretive Comment
No,No,(grouping)_urine,1512436,Urea Nitrogen Level Urine 24 Hour
No,No,not_reviewed,186736337,Rbc Count CSF Tube 3
No,No,not_reviewed,1513831,Herpes 1 IGG Antibody
No,No,not_reviewed,1512532,Triple Phosphate/HPF
No,No,not_reviewed,1513524,Lipoprotein a
No,No,not_reviewed,306574162,SSA/RO Antibody IgG Interpretation
No,No,not_reviewed,1905386,BM MEBASEG
No,No,not_reviewed,306574477,SSB/LA Antibody IgG Interpretation
No,No,not_reviewed,1512545,Thiopurine Methyltransferase RBC
No,No,not_reviewed,1512800,Uric Acid Urine Random
No,No,not_reviewed,1905389,BM M:E
No,No,not_reviewed,2259101235,Parainfluenza 2-URPP
No,No,not_reviewed,2259100823,Influenza B-URPP
No,No,not_reviewed,1514218,E. Chaffeensis IGM
No,No,not_reviewed,1514219,E. Chaffeensis IGG
No,No,not_reviewed,2259102015,Parainfluenza 4-URPP
No,No,not_reviewed,2259102909,Chlamydophilia pneumoniae-URPP
No,No,not_reviewed,2259096189,Adenovirus-URPP
No,No,not_reviewed,2259101823,Parainfluenza 3-URPP
No,No,not_reviewed,2259100041,Metapneumovirus-URPP
No,No,not_reviewed,2259100969,Parainfluenza 1-URPP
No,No,not_reviewed,2259098987,Enterovirus/Rhinovirus-URPP
No,No,not_reviewed,2259102171,Respiratory Syncytial Virus-URPP
No,No,not_reviewed,2259102657,Bordetella pertussis-URPP
No,No,not_reviewed,2259097763,Coronavirus NL63-URPP
No,No,not_reviewed,2259097277,Coronavirus HKU1-URPP
No,No,not_reviewed,2259098267,Coronavirus OC43-URPP
No,No,not_reviewed,2259103181,Mycoplasma pneumoniae-URPP
No,No,not_reviewed,2259100513,Influenza A-URPP
No,No,not_reviewed,2259096737,Coronavirus 229E-URPP
No,No,not_reviewed,2259111007,Upper Res Spec
No,No,not_reviewed,1514110,Factor IX (9) Level
No,No,not_reviewed,1651967589,HIV-1 Antibody Differentiation Supplmntl
No,No,not_reviewed,1651967383,HIV-2 Antibody Differentiation Supplmntl
No,No,not_reviewed,1512866,Rocky Mountain Spotted Fever IGM
No,No,not_reviewed,1512867,Rocky Mountain Spotted Fever IGG
No,No,not_reviewed,1514316,LDL Cholesterol - Direct
No,No,not_reviewed,1513246,Phospholipids
No,No,not_reviewed,1513110,PRP Platelet Count
No,No,not_reviewed,1513410,Moderate ADP
No,No,not_reviewed,1515029,Platelet Aggregation Interpretation
