import,super_table_col_name,component_id,component,proc_cat_name,proc_desc
Yes,platelets,51265,Platelet Count,Blood,Hematology
No,Not Import,51266,Platelet Smear,Blood,Hematology
No,Not Import,51267,Poikilocytosis,Blood,Hematology
No,Not Import,51268,Polychromasia,Blood,Hematology
No,Not Import,51269,Promyelocytes,Blood,Hematology
No,Not Import,51270,"Protein C, Antigen",Blood,Hematology
No,Not Import,51271,"Protein C, Functional",Blood,Hematology
No,Not Import,51272,"Protein S, Antigen",Blood,Hematology
No,Not Import,51273,"Protein S, Functional",Blood,Hematology
Yes,prothrombin_time_(pt),51274,PT,Blood,Hematology
Yes,partial_prothrombin_time_(ptt),51275,PTT,Blood,Hematology
No,Not Import,51276,Quantitative G6PD,Blood,Hematology
No,Not Import,51277,RDW,Blood,Hematology
No,Not Import,51278,Red Blood Cell Fragments,Blood,Hematology
No,Not Import,51279,Red Blood Cells,Blood,Hematology
Yes,thrombin_time,51280,Reptilase Time,Blood,Hematology
No,Not Import,51281,Reptilase Time Control,Blood,Hematology
No,Not Import,51282,"Reticulocyte Count, Absolute",Blood,Hematology
No,Not Import,51283,"Reticulocyte Count, Automated",Blood,Hematology
No,Not Import,51284,"Reticulocyte Count, Manual",Blood,Hematology
No,Not Import,51285,"Reticulocyte, Cellular Hemoglobin",Blood,Hematology
No,Not Import,51286,Ristocetin,Blood,Hematology
No,Not Import,51287,Schistocytes,Blood,Hematology
Yes,erythrocyte_sedimentation_rate_(esr),51288,Sedimentation Rate,Blood,Hematology
No,Not Import,51289,Serum Viscosity,Blood,Hematology
No,Not Import,51290,Sickle Cell Preparation,Blood,Hematology
No,Not Import,51291,Sickle Cells,Blood,Hematology
No,Not Import,51292,Spherocytes,Blood,Hematology
No,Not Import,51293,Sugar Water Test,Blood,Hematology
No,Not Import,51294,Target Cells,Blood,Hematology
No,Not Import,51295,TdT,Blood,Hematology
No,Not Import,51296,Teardrop Cells,Blood,Hematology
Yes,thrombin_time,51297,Thrombin,Blood,Hematology
No,Not Import,51298,Von Willebrand Factor Activity,Blood,Hematology
No,Not Import,51299,Von Willebrand Factor Antigen,Blood,Hematology
Yes,white_blood_cell_count,51300,WBC Count,Blood,Hematology
Yes,white_blood_cell_count,51301,White Blood Cells,Blood,Hematology
No,Not Import,51302,Young Cells,Blood,Hematology
No,Not Import,51303,CD10,Bone Marrow,Hematology
No,Not Import,51304,CD103,Bone Marrow,Hematology
No,Not Import,51305,CD117,Bone Marrow,Hematology
No,Not Import,51306,CD11c,Bone Marrow,Hematology
No,Not Import,51307,CD13,Bone Marrow,Hematology
No,Not Import,51308,CD138,Bone Marrow,Hematology
No,Not Import,51309,CD14,Bone Marrow,Hematology
No,Not Import,51310,CD15,Bone Marrow,Hematology
No,Not Import,51311,CD16,Bone Marrow,Hematology
No,Not Import,51312,CD16/56,Bone Marrow,Hematology
No,Not Import,51313,CD19,Bone Marrow,Hematology
No,Not Import,51314,CD2,Bone Marrow,Hematology
No,Not Import,51315,CD20,Bone Marrow,Hematology
No,Not Import,51316,CD22,Bone Marrow,Hematology
No,Not Import,51317,CD23,Bone Marrow,Hematology
No,Not Import,51318,CD25,Bone Marrow,Hematology
No,Not Import,51319,CD3,Bone Marrow,Hematology
No,Not Import,51320,CD33,Bone Marrow,Hematology
No,Not Import,51321,CD34,Bone Marrow,Hematology
No,Not Import,51322,CD38,Bone Marrow,Hematology
No,Not Import,51323,CD4,Bone Marrow,Hematology
No,Not Import,51324,CD41,Bone Marrow,Hematology
No,Not Import,51325,CD45,Bone Marrow,Hematology
No,Not Import,51326,CD5,Bone Marrow,Hematology
No,Not Import,51327,CD55,Bone Marrow,Hematology
No,Not Import,51328,CD56,Bone Marrow,Hematology
No,Not Import,51329,CD57,Bone Marrow,Hematology
No,Not Import,51330,CD59,Bone Marrow,Hematology
No,Not Import,51331,CD64,Bone Marrow,Hematology
No,Not Import,51332,CD7,Bone Marrow,Hematology
No,Not Import,51333,CD71,Bone Marrow,Hematology
No,Not Import,51334,CD8,Bone Marrow,Hematology
No,Not Import,51335,FMC-7,Bone Marrow,Hematology
No,Not Import,51336,Glyco A,Bone Marrow,Hematology
No,Not Import,51337,HLA-DR,Bone Marrow,Hematology
No,Not Import,51338,Immunophenotyping,Bone Marrow,Hematology
No,Not Import,51339,Iron Stain,Bone Marrow,Hematology
No,Not Import,51340,Kappa,Bone Marrow,Hematology
No,Not Import,51341,Lambda,Bone Marrow,Hematology
No,Not Import,51342,Wright Giemsa,Bone Marrow,Hematology
No,Not Import,51365,Atypical Lymphocytes,Joint Fluid,Hematology
No,Not Import,51366,Bands,Joint Fluid,Hematology
No,Not Import,51367,Basophils,Joint Fluid,Hematology
No,Not Import,51368,Eosinophils,Joint Fluid,Hematology
Yes,hematocrit,51369,"Hematocrit, Joint Fluid",Joint Fluid,Hematology
No,Not Import,51370,"Joint Crystals, Birefringence",Joint Fluid,Hematology
No,Not Import,51371,"Joint Crystals, Comment",Joint Fluid,Hematology
No,Not Import,51372,"Joint Crystals, Location",Joint Fluid,Hematology
No,Not Import,51373,"Joint Crystals, Number",Joint Fluid,Hematology
No,Not Import,51374,"Joint Crystals, Shape",Joint Fluid,Hematology
Yes,lymphocyte,51375,Lymphocytes,Joint Fluid,Hematology
No,Not Import,51376,Macrophage,Joint Fluid,Hematology
No,Not Import,51377,Mesothelial Cells,Joint Fluid,Hematology
No,Not Import,51378,Metamyelocytes,Joint Fluid,Hematology
No,Not Import,51379,Monocytes,Joint Fluid,Hematology
No,Not Import,51380,NRBC,Joint Fluid,Hematology
No,Not Import,51381,Other,Joint Fluid,Hematology
No,Not Import,51382,Polys,Joint Fluid,Hematology
No,Not Import,51383,"RBC, Joint Fluid",Joint Fluid,Hematology
No,Not Import,51385,Atypical Lymphocytes,Other Body Fluid,Hematology
No,Not Import,51386,Bands,Other Body Fluid,Hematology
No,Not Import,51387,Basophils,Other Body Fluid,Hematology
No,Not Import,51388,CD10,Other Body Fluid,Hematology
No,Not Import,51389,CD103,Other Body Fluid,Hematology
No,Not Import,51390,CD117,Other Body Fluid,Hematology
No,Not Import,51391,CD11c,Other Body Fluid,Hematology
No,Not Import,51392,CD13,Other Body Fluid,Hematology
No,Not Import,51393,CD138,Other Body Fluid,Hematology
No,Not Import,51394,CD14,Other Body Fluid,Hematology
No,Not Import,51395,CD15,Other Body Fluid,Hematology
No,Not Import,51396,CD16,Other Body Fluid,Hematology
No,Not Import,51397,CD16/56,Other Body Fluid,Hematology
No,Not Import,51398,CD19,Other Body Fluid,Hematology
No,Not Import,51399,CD2,Other Body Fluid,Hematology
No,Not Import,51400,CD20,Other Body Fluid,Hematology
No,Not Import,51401,CD22,Other Body Fluid,Hematology
No,Not Import,51402,CD23,Other Body Fluid,Hematology
No,Not Import,51403,CD25,Other Body Fluid,Hematology
No,Not Import,51404,CD3,Other Body Fluid,Hematology
No,Not Import,51405,CD33,Other Body Fluid,Hematology
No,Not Import,51406,CD34,Other Body Fluid,Hematology
No,Not Import,51407,CD38,Other Body Fluid,Hematology
No,Not Import,51408,CD4,Other Body Fluid,Hematology
No,Not Import,51409,CD4/CD8 Ratio,Other Body Fluid,Hematology
No,Not Import,51410,CD41,Other Body Fluid,Hematology
No,Not Import,51411,CD45,Other Body Fluid,Hematology
No,Not Import,51412,CD5,Other Body Fluid,Hematology
No,Not Import,51413,CD56,Other Body Fluid,Hematology
No,Not Import,51414,CD57,Other Body Fluid,Hematology
No,Not Import,51415,CD64,Other Body Fluid,Hematology
No,Not Import,51416,CD7,Other Body Fluid,Hematology
No,Not Import,51417,CD71,Other Body Fluid,Hematology
No,Not Import,51418,CD8,Other Body Fluid,Hematology
Yes,lymphocyte,51419,Eosinophils,Other Body Fluid,Hematology
No,Not Import,51420,FMC-7,Other Body Fluid,Hematology
No,Not Import,51421,Glyco A,Other Body Fluid,Hematology
Yes,hematocrit,51422,"Hematocrit, Other Fluid",Other Body Fluid,Hematology
No,Not Import,51423,HLA-DR,Other Body Fluid,Hematology
No,Not Import,51424,Immunophenotyping,Other Body Fluid,Hematology
No,Not Import,51425,Kappa,Other Body Fluid,Hematology
No,Not Import,51426,Lambda,Other Body Fluid,Hematology
Yes,lymphocyte,51427,Lymphocytes,Other Body Fluid,Hematology
No,Not Import,51428,Macrophage,Other Body Fluid,Hematology
No,Not Import,51429,Mesothelial cells,Other Body Fluid,Hematology
No,Not Import,51430,Metamyelocytes,Other Body Fluid,Hematology
No,Not Import,51431,Monos,Other Body Fluid,Hematology
No,Not Import,51432,Myelocytes,Other Body Fluid,Hematology
No,Not Import,51433,NRBC,Other Body Fluid,Hematology
No,Not Import,51434,Other Cell,Other Body Fluid,Hematology
No,Not Import,51435,Plasma,Other Body Fluid,Hematology
No,Not Import,51436,Polys,Other Body Fluid,Hematology
No,Not Import,51437,Promyelocytes,Other Body Fluid,Hematology
No,Not Import,51438,"RBC, Other Fluid",Other Body Fluid,Hematology
No,Not Import,51440,Atypical Lymphocytes,Pleural,Hematology
No,Not Import,51441,Bands,Pleural,Hematology
No,Not Import,51442,Basophils,Pleural,Hematology
No,Not Import,51443,Blasts,Pleural,Hematology
No,Not Import,51444,Eosinophils,Pleural,Hematology
Yes,hematocrit,51445,"Hematocrit, Pleural",Pleural,Hematology
Yes,lymphocyte,51446,Lymphocytes,Pleural,Hematology
No,Not Import,51447,Macrophages,Pleural,Hematology
No,Not Import,51448,Mesothelial Cells,Pleural,Hematology
No,Not Import,51449,Metamyelocytes,Pleural,Hematology
No,Not Import,51450,Monos,Pleural,Hematology
No,Not Import,51451,Myelocytes,Pleural,Hematology
No,Not Import,51452,NRBC,Pleural,Hematology
No,Not Import,51453,Other,Pleural,Hematology
No,Not Import,51454,Plasma Cells,Pleural,Hematology
No,Not Import,51455,Polys,Pleural,Hematology
No,Not Import,51456,Promyelocytes,Pleural,Hematology
No,Not Import,51457,"RBC, Pleural",Pleural,Hematology
No,Not Import,51459,Young Cells,Pleural,Hematology
No,Not Import,51460,"Blood, Occult",Stool,Hematology
No,Not Import,51461,Ammonium Biurate,Urine,Hematology
No,Not Import,51462,Amorphous Crystals,Urine,Hematology
No,Not Import,51463,Bacteria,Urine,Hematology
Yes,bilirubin_total,51464,Bilirubin,Urine,Hematology
No,Not Import,51465,Bilirubin Crystals,Urine,Hematology
No,Not Import,51466,Blood,Urine,Hematology
No,Not Import,51467,Broad Casts,Urine,Hematology
No,Not Import,51468,Calcium Carbonate Crystals,Urine,Hematology
No,Not Import,51469,Calcium Oxalate Crystals,Urine,Hematology
No,Not Import,51470,Calcium Phosphate Crystals,Urine,Hematology
No,Not Import,51471,Cellular Cast,Urine,Hematology
No,Not Import,51472,Cholesterol Crystals,Urine,Hematology
No,Not Import,51473,Cysteine Crystals,Urine,Hematology
No,Not Import,51474,Eosinophils,Urine,Hematology
No,Not Import,51475,Epithelial Casts,Urine,Hematology
No,Not Import,51476,Epithelial Cells,Urine,Hematology
No,Not Import,51477,Free Fat,Urine,Hematology
Yes,glucose,51478,Glucose,Urine,Hematology
No,Not Import,51479,Granular Casts,Urine,Hematology
Yes,hematocrit,51480,Hematocrit,Urine,Hematology
No,Not Import,51481,Hemosiderin,Urine,Hematology
No,Not Import,51482,Hyaline Casts,Urine,Hematology
No,Not Import,51483,Hyphenated Yeast,Urine,Hematology
No,Not Import,51484,Ketone,Urine,Hematology
No,Not Import,51485,Leucine Crystals,Urine,Hematology
Yes,white_blood_cell_count,51486,Leukocytes,Urine,Hematology
No,Not Import,51487,Nitrite,Urine,Hematology
No,Not Import,51488,Non-squamous Epithelial Cells,Urine,Hematology
No,Not Import,51489,NonSquamous Epithelial Cell,Urine,Hematology
No,Not Import,51490,Oval Fat Body,Urine,Hematology
Yes,ph,51491,pH,Urine,Hematology
Yes,protein,51492,Protein,Urine,Hematology
No,Not Import,51493,RBC,Urine,Hematology
No,Not Import,51494,RBC Casts,Urine,Hematology
No,Not Import,51495,RBC Clumps,Urine,Hematology
No,Not Import,51496,"Reducing Substances, Urine",Urine,Hematology
No,Not Import,51497,Renal Epithelial Cells,Urine,Hematology
No,Not Import,51498,Specific Gravity,Urine,Hematology
No,Not Import,51499,Sperm,Urine,Hematology
No,Not Import,51500,Sulfonamides,Urine,Hematology
No,Not Import,51501,Transitional Epithelial Cells,Urine,Hematology
No,Not Import,51502,Trichomonas,Urine,Hematology
No,Not Import,51503,Triple Phosphate Crystals,Urine,Hematology
No,Not Import,51504,Tyrosine Crystals,Urine,Hematology
No,Not Import,51505,Uric Acid Crystals,Urine,Hematology
No,Not Import,51506,Urine Appearance,Urine,Hematology
No,Not Import,51507,"Urine Casts, Other",Urine,Hematology
No,Not Import,51508,Urine Color,Urine,Hematology
No,Not Import,51509,Urine Comments,Urine,Hematology
No,Not Import,51510,"Urine Crystals, Other",Urine,Hematology
No,Not Import,51511,Urine Fat Bodies,Urine,Hematology
No,Not Import,51512,Urine Mucous,Urine,Hematology
No,Not Import,51513,Urine Specimen Type,Urine,Hematology
No,Not Import,51514,Urobilinogen,Urine,Hematology
No,Not Import,51515,Waxy Casts,Urine,Hematology
Yes,white_blood_cell_count,51516,WBC,Urine,Hematology
No,Not Import,51517,WBC Casts,Urine,Hematology
No,Not Import,51518,WBC Clumps,Urine,Hematology
No,Not Import,51519,Yeast,Urine,Hematology
No,Not Import,51556,Anti-Microsomal Antibodies,Blood,Chemistry
No,Not Import,51557,Anti-Microsomal Antibody,Blood,Chemistry
No,Not Import,51558,Antirnp,Blood,Chemistry
No,Not Import,51559,Anti-ro,Blood,Chemistry
Yes,covid,51560,Anti-SARS-CoV-2 IgA,Blood,Chemistry
No,Not Import,51562,Anti-Skin Antibody,Blood,Chemistry
No,Not Import,51563,Anti-sm,Blood,Chemistry
No,Not Import,51564,ARCH-1,Blood,Chemistry
No,Not Import,51565,Argon,Blood,Chemistry
No,Not Import,51566,Beta,Blood,Chemistry
No,Not Import,51567,Beta Hydroxybutyrate,Blood,Chemistry
Yes,bilirubin_total,51568,"Bilirubin, Neonatal",Blood,Chemistry
Yes,bilirubin_direct,51569,"Bilirubin, Neonatal, Direct",Blood,Chemistry
No,Not Import,51570,"Bilirubin, Neonatal, Indirect",Blood,Chemistry
No,Not Import,51571,Billed,Blood,Chemistry
No,Not Import,51572,Bioavailable Testosterone,Blood,Chemistry
No,Not Import,51573,Bromide,Blood,Chemistry
No,Not Import,51574,C1 Inhibitor,Blood,Chemistry
No,Not Import,51575,C1q,Blood,Chemistry
No,Not Import,51576,C2,Blood,Chemistry
No,Not Import,51577,C5,Blood,Chemistry
No,Not Import,51578,C6,Blood,Chemistry
No,Not Import,51579,CA 19-9,Blood,Chemistry
No,Not Import,51580,Calculated CK-MB,Blood,Chemistry
No,Not Import,51581,Carotene,Blood,Chemistry
No,Not Import,51582,CH50,Blood,Chemistry
No,Not Import,51583,Chol Estr,Blood,Chemistry
No,Not Import,51584,Chylomicrons,Blood,Chemistry
Yes,c_diff,51585,Clostrid,Blood,Chemistry
No,Not Import,51586,CMV IgG Ab,Blood,Chemistry
No,Not Import,51587,CMV IgG Ab Value,Blood,Chemistry
No,Not Import,51588,CMV IgM Ab,Blood,Chemistry
No,Not Import,51589,CMV IgM Ab Value,Blood,Chemistry
No,Not Import,51590,CMV Interpretation,Blood,Chemistry
No,Not Import,51591,Confirmation,Blood,Chemistry
Yes,bilirubin_direct,51592,Conj Bili,Blood,Chemistry
No,Not Import,51593,Copper,Blood,Chemistry
No,Not Import,51594,"Creatine Kinase, Isoenzyme BB",Blood,Chemistry
No,Not Import,51595,"Creatine Kinase, Isoenzyme MB",Blood,Chemistry
No,Not Import,51596,"Creatine Kinase, Isoenzyme MM",Blood,Chemistry
No,Not Import,51597,Cvhlc,Blood,Chemistry
No,Not Import,51598,Cytomegalovirus Viral Load,Blood,Chemistry
No,Not Import,51599,D,Blood,Chemistry
No,Not Import,51600,Delete,Blood,Chemistry
No,Not Import,51601,Delete,Blood,Chemistry
No,Not Import,51602,Delete,Blood,Chemistry
No,Not Import,51603,Delete,Blood,Chemistry
No,Not Import,51604,Delete,Blood,Chemistry
No,Not Import,51605,Delta/Dlt,Blood,Chemistry
No,Not Import,51606,Digitoxin,Blood,Chemistry
No,Not Import,51607,"Dimeric Inhibin A, Maternal Screen",Blood,Chemistry
No,Not Import,51608,DirLst,Blood,Chemistry
No,Not Import,51609,Disopyramide,Blood,Chemistry
Yes,bilirubin_total,51610,Dlta Bili,Blood,Chemistry
No,Not Import,51611,Down Syndrome Risk,Blood,Chemistry
No,Not Import,51612,Dr. X,Blood,Chemistry
No,Not Import,51613,eAG,Blood,Chemistry
No,Not Import,51614,Epstein-Barr Virus  EBNA IgG Ab,Blood,Chemistry
No,Not Import,51615,Epstein-Barr Virus EBNA IgG Ab,Blood,Chemistry
No,Not Import,51616,Epstein-Barr Virus IgG Ab Value,Blood,Chemistry
No,Not Import,51617,Epstein-Barr Virus IgM Ab Value,Blood,Chemistry
No,Not Import,51618,Epstein-Barr Virus Interpretation,Blood,Chemistry
No,Not Import,51619,Epstein-Barr Virus VCA IgG Ab,Blood,Chemistry
No,Not Import,51620,Epstein-Barr Virus VCA IgM Ab,Blood,Chemistry
No,Not Import,51621,Ethylene Glycol,Blood,Chemistry
Yes,fibrinogen,51623,Fibrinogen,Blood,Chemistry
Yes,calcium_ionized,51624,Free Calcium,Blood,Chemistry
No,Not Import,51625,Free Kappa,Blood,Chemistry
No,Not Import,51626,Free Kappa/Free Lambda Ratio,Blood,Chemistry
No,Not Import,51627,Free Lambda,Blood,Chemistry
No,Not Import,51628,Fructosamine,Blood,Chemistry
No,Not Import,51629,Fructosamine Plus,Blood,Chemistry
No,Not Import,51630,Gamma,Blood,Chemistry
Yes,hemoglobin_a1c,51631,Glycated Hemoglobin,Blood,Chemistry
No,Not Import,51632,Growth Hormone,Blood,Chemistry
No,Not Import,51633,Hbeag,Blood,Chemistry
No,Not Import,51634,Hbsag,Blood,Chemistry
No,Not Import,51635,Hbsag,Blood,Chemistry
No,Not Import,51636,"HCG, Multiples of Median",Blood,Chemistry
No,Not Import,51637,"HCG, Qualitative",Blood,Chemistry
Yes,hematocrit,51638,Hematocrit,Blood,Chemistry
Yes,hematocrit,51639,Hematocrit,Blood,Chemistry
Yes,hemoglobin,51640,Hemoglobin,Blood,Chemistry
No,Not Import,51641,Hemoglobin  A,Blood,Chemistry
Yes,hemoglobin_a1c,51642,Hemoglobin  A1,Blood,Chemistry
No,Not Import,51643,Hemoglobin  A2,Blood,Chemistry
No,Not Import,51644,Hemoglobin  C,Blood,Chemistry
Yes,hemoglobin,51645,"Hemoglobin, Calculated",Blood,Chemistry
No,Not Import,51646,Hemoglobin  F,Blood,Chemistry
No,Not Import,51647,Hemoglobin  S,Blood,Chemistry
No,Not Import,51648,Hepatitis B Viral Load,Blood,Chemistry
No,Not Import,51649,Hepatitis B Virus E Antibody,Blood,Chemistry
No,Not Import,51650,Hepatitis B Virus E Antigen,Blood,Chemistry
No,Not Import,51651,Hepatitis C Viral Load,Blood,Chemistry
Yes,crp_high_sens,51652,High-Sensitivity CRP,Blood,Chemistry
No,Not Import,51653,HIV 1 Ab Confirmation,Blood,Chemistry
No,Not Import,51654,HIV 1 Viral Load,Blood,Chemistry
No,Not Import,51655,HIV 2 Ab Confirmation,Blood,Chemistry
No,Not Import,51656,Hlap,Blood,Chemistry
No,Not Import,51657,HPE1,Blood,Chemistry
No,Not Import,51658,HPE2,Blood,Chemistry
No,Not Import,51659,HPE3,Blood,Chemistry
No,Not Import,51660,HPE4,Blood,Chemistry
No,Not Import,51661,HPE5,Blood,Chemistry
No,Not Import,51662,HPE6,Blood,Chemistry
No,Not Import,51663,HPE7,Blood,Chemistry
No,Not Import,51664,HPE8,Blood,Chemistry
No,Not Import,51665,HPE9,Blood,Chemistry
No,Not Import,51666,H. pylori IgG Ab,Blood,Chemistry
No,Not Import,51667,H. pylori IgG Ab Value,Blood,Chemistry
No,Not Import,51668,Hsap,Blood,Chemistry
No,Not Import,51669,Htlv Ab,Blood,Chemistry
No,Not Import,51670,Icd9,Blood,Chemistry
No,Not Import,51671,IFEgel,Blood,Chemistry
No,Not Import,51672,Immune Complexes,Blood,Chemistry
No,Not Import,51673,Immunoelectrophoresis,Blood,Chemistry
No,Not Import,51674,Immunoglobulin E,Blood,Chemistry
Yes,inr,51675,INR(PT),Blood,Chemistry
No,Not Import,51676,Insulin,Blood,Chemistry
No,Not Import,51677,K (GREEN),Blood,Chemistry
No,Not Import,51678,L,Blood,Chemistry
No,Not Import,51679,Lap,Blood,Chemistry
No,Not Import,51680,"LD, Isoenzyme 1",Blood,Chemistry
No,Not Import,51681,"LD, Isoenzyme 2",Blood,Chemistry
No,Not Import,51682,"LD, Isoenzyme 3",Blood,Chemistry
No,Not Import,51683,"LD, Isoenzyme 4",Blood,Chemistry
No,Not Import,51684,"LD, Isoenzyme 5",Blood,Chemistry
No,Not Import,51685,Lidocaine,Blood,Chemistry
No,Not Import,51686,Lip2,Blood,Chemistry
No,Not Import,51687,Lipo Electrophoresis,Blood,Chemistry
No,Not Import,51688,Lyme C6 Ab,Blood,Chemistry
No,Not Import,51689,Lyme G and M Value,Blood,Chemistry
No,Not Import,51691,MCV,Blood,Chemistry
No,Not Import,51692,"Monospot, Rapid Antigen",Blood,Chemistry
No,Not Import,51693,Mumps IgG Ab,Blood,Chemistry
No,Not Import,51694,Mumps IgG Ab Value,Blood,Chemistry
Yes,troponin,51695,Myoglobin,Blood,Chemistry
No,Not Import,51696,Neural Tube Defect Risk,Blood,Chemistry
No,Not Import,51698,No MD,Blood,Chemistry
No,Not Import,51699,Not Done,Blood,Chemistry
No,Not Import,51700,Np-fx,Blood,Chemistry
Yes,osmolarity,51701,"Osmolality, Calculated",Blood,Chemistry
No,Not Import,51702,Park,Blood,Chemistry
No,Not Import,51703,PEPgel,Blood,Chemistry
No,Not Import,51705,Primidone,Blood,Chemistry
No,Not Import,51706,Problem Specimen,Blood,Chemistry
Yes,progesterone,51707,Progesterone,Blood,Chemistry
No,Not Import,51708,Qnthbsab,Blood,Chemistry
No,Not Import,51709,Quantitative RPR Test,Blood,Chemistry
No,Not Import,51710,Rapid Plasma Reagin Test,Blood,Chemistry
No,Not Import,51712,Referred,Blood,Chemistry
No,Not Import,51713,Reflex Confirmatory Hepatitis C Viral Load,Blood,Chemistry
No,Not Import,51714,Reflex HIV Confirmation,Blood,Chemistry
No,Not Import,51715,Renin,Blood,Chemistry
No,Not Import,51717,Reserved,Blood,Chemistry
No,Not Import,51718,Reserved1,Blood,Chemistry
No,Not Import,51719,Reserved3,Blood,Chemistry
No,Not Import,51720,Reserved4,Blood,Chemistry
No,Not Import,51721,Reverse T3,Blood,Chemistry
No,Not Import,51722,RFXLDLM,Blood,Chemistry
No,Not Import,51723,Rubella,Blood,Chemistry
No,Not Import,51724,Rubella IgG Ab,Blood,Chemistry
No,Not Import,51725,Rubeola IgG Ab,Blood,Chemistry
No,Not Import,51726,Rubeola IgG Ab Value,Blood,Chemistry
No,Not Import,51727,Send Out,Blood,Chemistry
No,Not Import,51728,Serum B12,Blood,Chemistry
No,Not Import,51729,Serum B12,Blood,Chemistry
No,Not Import,51730,Serum Folate,Blood,Chemistry
No,Not Import,51731,Single Stranded DNA,Blood,Chemistry
No,Not Import,51732,STX1,Blood,Chemistry
No,Not Import,51733,STX2,Blood,Chemistry
No,Not Import,51734,STX3,Blood,Chemistry
No,Not Import,51735,STX4,Blood,Chemistry
No,Not Import,51736,STX5,Blood,Chemistry
No,Not Import,51737,STX6,Blood,Chemistry
No,Not Import,51738,Thyroid Binding Globulin,Blood,Chemistry
Yes,bicarb_(hco3),51739,Total CO2,Blood,Chemistry
No,Not Import,51740,Toxic Screen,Blood,Chemistry
No,Not Import,51741,Toxoplasma IgG Ab,Blood,Chemistry
No,Not Import,51742,Toxoplasma IgG Ab Value,Blood,Chemistry
No,Not Import,51743,Toxoplasma IgM Ab,Blood,Chemistry
No,Not Import,51744,Toxoplasma IgM Ab Value,Blood,Chemistry
No,Not Import,51745,Toxoplasma Interpretation,Blood,Chemistry
No,Not Import,51746,Transferrin Saturation,Blood,Chemistry
No,Not Import,51747,Treponemal Antibody Test,Blood,Chemistry
No,Not Import,51748,Treponema pallidum (Syphilis) Ab,Blood,Chemistry
No,Not Import,51749,Treponema pallidum (syphilis) value,Blood,Chemistry
No,Not Import,51750,"UE3, Multiples of Median",Blood,Chemistry
No,Not Import,51751,Uncon Bil,Blood,Chemistry
No,Not Import,51752,Voided Specimen,Blood,Chemistry
No,Not Import,51753,VZV IgG Ab,Blood,Chemistry
No,Not Import,51754,VZV IgG Ab Value,Blood,Chemistry
Yes,white_blood_cell_count,51755,White Blood Cells,Blood,Chemistry
Yes,white_blood_cell_count,51756,White Blood Cells,Blood,Chemistry
No,Not Import,51757,Xxx,Blood,Chemistry
No,Not Import,51758,Xylose,Blood,Chemistry
No,Not Import,51759,Z,Blood,Chemistry
No,Not Import,51760,Z,Blood,Chemistry
No,Not Import,51761,Zinc,Blood,Chemistry
No,Not Import,51762,EE1,Blood,Chemistry
No,Not Import,51763,EE2,Blood,Chemistry
No,Not Import,51764,EE7,Blood,Chemistry
No,Not Import,51765,EE3,Blood,Chemistry
No,Not Import,51767,EE5,Blood,Chemistry
No,Not Import,51768,EE6,Blood,Chemistry
No,Not Import,51769,RUBIgGV,Blood,Chemistry
Yes,gfr,51770,MDRDgfr,Blood,Chemistry
No,Not Import,51771,,Blood,Chemistry
No,Not Import,51772,PAN3,Blood,Chemistry
No,Not Import,51773,RFXFRKL,Blood,Chemistry
No,Not Import,51774,RFXHCV,Blood,Chemistry
Yes,albumin,51775,(Albumin),Cerebrospinal Fluid,Chemistry
Yes,albumin,51776,<Albumin>,Cerebrospinal Fluid,Chemistry
Yes,albumin,51777,"Albumin, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51778,Alpha-1,Cerebrospinal Fluid,Chemistry
No,Not Import,51779,Alpha-2,Cerebrospinal Fluid,Chemistry
Yes,amylase,51780,"Amylase, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51781,Beta,Cerebrospinal Fluid,Chemistry
Yes,bicarb_(hco3),51782,"Bicarbonate, CSF",Cerebrospinal Fluid,Chemistry
Yes,bilirubin_total,51783,"Bilirubin, Total, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51784,"Chloride, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51785,"Cholesterol, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51786,Clostrid,Cerebrospinal Fluid,Chemistry
No,Not Import,51787,"Creatinine, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51788,Cryptococ,Cerebrospinal Fluid,Chemistry
No,Not Import,51789,Fl Scan,Cerebrospinal Fluid,Chemistry
No,Not Import,51790,"Glucose, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51791,HIV 1 Viral Load,Cerebrospinal Fluid,Chemistry
No,Not Import,51792,"Immunoelectrophoresis, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51793,"Immunoglobulin G, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51794,"Immunoglobulin G, CSF",Cerebrospinal Fluid,Chemistry
Yes,lactate_dehydrogenase,51795,"Lactate Dehydrogenase, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51796,"Miscellaneous, CSF",Cerebrospinal Fluid,Chemistry
Yes,osmolarity,51797,"Osmolality, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51798,"PEP, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51799,"PEP, CSF, Gamma Region",Cerebrospinal Fluid,Chemistry
Yes,potassium,51800,"Potassium, CSF",Cerebrospinal Fluid,Chemistry
