Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,
285,Belatacept 250mg inj,belatacept,Not Recorded,none,1990,,,
286,Bendamustine 100 mg inj,bendamustine,Not Recorded,none,4,,,
287,Bendamustine 100 mg/4mL inj,bendamustine,Not Recorded,4 mL,70,mL,4,
288,Benzocaine 20% Mouth Gel,benzocaine 20%,Not Recorded,none,1,,,
289,Benzocaine 20% oral aerosol spray,benzocaine 20%,Not Recorded,none,48,,,
290,Benzocaine topical 20% spray 0.5mL UD,benzocaine topical,Not Recorded,0.5 mL,1,mL,0.5,
291,Benztropine 2 mg/2 mL inj,benztropine,Not Recorded,2 mL,115,mL,2,
292,BetamethPhos/Acetate 6 mg/mL 5 mL inj,betamethasone,Not Recorded,5 mL,3,mL,5,
293,Bevacizumab 100mg/4mL,bevacizumab,Not Recorded,4 mL,39,mL,4,
294,Bevacizumab 400mg inj,bevacizumab,Not Recorded,none,26,,,
295,Bivalirudin 250mg/NS,bivalirudin in ns,Not Recorded,none,71146,,,
296,Bleomycin 15 units inj,bleomycin,Not Recorded,none,36,,,
297,Bleomycin 30 units inj.,bleomycin,Not Recorded,none,2,,,
298,Blinatumomab 35 mcg inj,blinatumomab,Not Recorded,none,300,,,
299,Bortezomib 3.5 mg inj (IV),bortezomib,Not Recorded,none,32,,,
300,Bortezomib 3.5 mg inj (SubQ),bortezomib in syringe,Not Recorded,none,2,,,
301,Brand necessary-Ciprofloxacin 400mg/200mL D5W premix ivpb,ciprofloxacin in D5W,Not Recorded,200 mL,4125,mL,200,
302,Brentuximab vedotin 50 mg inj,brentuximab vedotin,Not Recorded,none,10,,,
303,Bumetanide 0.25 mg/mL 10 mL inj,bumetanide,Milligram/Hour,10 mL,50371,mL,10,
304,Bumetanide 1 mg/4 mL inj,bumetanide,Not Recorded,4 mL,11559,mL,4,
305,Bupivacaine  0.25% w/Epi  30 mL,bupivacaine 0.25% w/epi,Not Recorded,30 mL,37,mL,30,
306,Bupivacaine  0.25% w/Epi  PF 30 mL,bupivacaine 0.25% w/epi,Not Recorded,30 mL,2,mL,30,
307,Bupivacaine  0.5% w/Epi 10 mL inj,bupivacaine 0.5% w/epi,Not Recorded,10 mL,10,mL,10,
308,Bupivacaine 0.25% 30 mL inj,bupivacaine 0.25%,Not Recorded,30 mL,19,mL,30,
309,Bupivacaine 0.25% pf  10mL inj,bupivacaine 0.25% pf,Not Recorded,10 mL,13,mL,10,
310,Bupivacaine 0.25% pf 30mL inj,bupivacaine 0.25% pf,Not Recorded,30 mL,5,mL,30,
311,Bupivacaine 0.5% 10 mL inj,bupivacaine 0.5%,Not Recorded,10 mL,152,mL,10,
312,Bupivacaine 0.5% pf 10 mL inj,bupivacaine 0.5%,Not Recorded,10 mL,43,mL,10,
313,Bupivacaine 0.5% pf 30 mL inj,bupivacaine 0.5%,Not Recorded,30 mL,2909,mL,30,
314,Bupivacaine 0.5% pf inj 10mL,bupivacaine 0.5% pf,Not Recorded,10 mL,4,mL,10,
315,Bupivacaine 0.75% 10 mL inj pf,bupivacaine 0.75%,Not Recorded,10 mL,4,mL,10,
316,Bupivacaine Spinal 0.75% 2 mL inj,bupivacaine 0.75%,Not Recorded,2 mL,10,mL,2,
317,Bupivacaine liposome 1.3% (13.3 mg/mL) inj. 20mL,bupivacaine liposome,Not Recorded,20 mL,7,mL,20,
318,Buprenorphone 0.3 mg/ 1 mL inj,buprenorphine,Not Recorded,1 mL,11,mL,1,
319,Busulfan 6mg/mL 10 mL inj,busulfan,Not Recorded,10 mL,1722,mL,10,
320,Butorphanol 2 mg/mL inj,butorphanol,Not Recorded,none,312,,,
321,Butorphanol 4 mg/2 mL inj,butorphanol,Not Recorded,2 mL,15,mL,2,
322,C1 Esterase Inhibitor 500 units inj (Berinert),C1 esterase inhibitor,Not Recorded,none,19,,,
323,C1 Esterase Inhibitor 500 units inj (Berinert) (pt. Own Med),C1 esterase inhibitor,Not Recorded,none,2,,,
324,"C1 esterase inhibitor, human 500 units (Cinryze)","C1 esterase inhibitor, human",Not Recorded,none,1,,,
325,CARBOplatin 10 mg/mL inj,CARBOplatin,Not Recorded,none,1441,,,
326,CARBOplatin 150mg inj,CARBOplatin,Not Recorded,none,3,,,
327,CISplatin 100 mg/100mL inj,CISplatin,Not Recorded,100 mL,13,mL,100,
328,CISplatin 200  mg/200  mL inj,CISplatin,Not Recorded,200 mL,4265,mL,200,
329,"CMPD fentanyl  2,500 mcg vial",fentanyl citrate,Not Recorded,none,15018,,,
330,CaRVEDILOL 12.5 mg tab,CaRVEDILOL,Not Recorded,none,1,,,
331,CaRVEDILOL 25 mg tab,CaRVEDILOL,Not Recorded,none,1,,,
332,Caffeine Citrate 20mg/mL neonate syringe,caffeine citrate syringe,Not Recorded,none,439,,,
333,Caffeine Citrate 60mg/3ml inj,caffeine citrate,Not Recorded,3 mL,6,mL,3,
334,Caffeine-Sod Benz 500 mg/2 mL inj,caffeine-sodium benzoate,Not Recorded,2 mL,182,mL,2,
335,Calcitonin 400 IU/2 mL inj,calcitonin,Not Recorded,2 mL,2,mL,2,
336,Calcitriol 1 mcg/1 mL inj,calcitriol,Not Recorded,1 mL,446,mL,1,
337,Calcium Chloride  1gm/10 mL inj vial,calcium chloride,Not Recorded,10 mL,2793,mL,10,
338,Calcium Chloride  1gm/10 mL syringe,calcium chloride,Not Recorded,10 mL,32810,mL,10,
339,Calcium Chloride (45x) 6.3gm granules,calcium chloride,Not Recorded,none,7,,,
340,Calcium Glubionate 1.8 gm/5 ml liq 15 mL,calcium glubionate,Not Recorded,5 mL,1,mL,5,
341,Calcium Gluconate 1 gm/10 mL inj,calcium gluconate,Not Recorded,10 mL,143562,mL,10,
342,Calcium Gluconate 1 gm/10 mL inj ADD,calcium gluconate,Grams/Hour,10 mL,29686,mL,10,
343,Calcium chloride 5.1gm granules,calcium chloride,Not Recorded,none,1,,,
344,Calcium gluconate 50mg/mL/NS neonate syringe,calcium gluconate in NS syringe,Not Recorded,none,168,,,
345,Carbidopa-Levodopa 25/100 CR tab,carbidopa-levodopa cr 25/100,Not Recorded,none,1,,,
346,Carbidopa-Levodopa 25/100 tab,carbidopa-levodopa 25/100,Not Recorded,none,1,,,
347,Carbidopa/Entacapone/Levodopa 37.5 mg-200 mg-150 mg tabl,carbidopa/entacapone/levodopa 37.5/200/150,Not Recorded,none,1,,,
348,Carboprost Trm 250 mcg/ 1 mL,carboprost,Not Recorded,1 mL,8,mL,1,
349,Carfilzomib 60 mg inj,carfilzomib,Not Recorded,none,19,,,
350,Carmustine 100 mg inj,carmustine,Not Recorded,none,321,,,
351,CeFAZOLIN 2 g/50 mL,ceFAZolin in iso-dex,Not Recorded,50 mL,90075,mL,50,
352,CeFAZOLIN 2 g/50 mL,ceFAZolin ivpb,Not Recorded,50 mL,104079,mL,50,
353,CeFAZolin 500mg (10gm vial),ceFAZolin,Not Recorded,none,3100,,,
354,CeTUXimab 2 mg/mL 50 mL inj,ceTUXimab,Not Recorded,50 mL,3,mL,50,
355,CefEPIME 1 gm/D5W 50mL IVPB,cefepime in D5W,Not Recorded,50 mL,8193,mL,50,
356,CefEPIME 1 gm/ns 100ml,cefEPIME in NS,Not Recorded,100 mL,496,mL,100,
357,CefEPIME 20mg/mL neonate syringe,cefEPIME in syringe,Not Recorded,none,32,,,
358,CefEPIME 2gm/D5W 50mL IVPB,cefEPIME in d5W,Not Recorded,50 mL,73715,mL,50,
359,CefTAZIDime 1gm IVPB,cefTAZIDime in ns,Not Recorded,none,8950,,,
360,CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime IVPB,Not Recorded,50 mL,506,mL,50,
361,CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime ivpb,Not Recorded,50 mL,109,mL,50,
362,CefTAZIDime 1gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,Not Recorded,50 mL,31,mL,50,
363,CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime in ns,Not Recorded,100 mL,5,mL,100,
364,CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime ivpb,Not Recorded,100 mL,1008,mL,100,
365,CefTAZIDime 2gm/50 mL IVPB,cefTAZIDime ivpb,Not Recorded,50 mL,6021,mL,50,
366,CefTAZIDime 2gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,Not Recorded,50 mL,4467,mL,50,
367,CefTAZIDime 2gm/NS IVPB,cefTAZIDime in ns,Not Recorded,none,45946,,,
368,CefTAZIDime 40mg/mL NS neonate syringe,cefTAZIDime in NS syringe,Not Recorded,none,74,,,
369,CefTAZIDime 40mg/mL NS neonate syringe,cefTAZidime in NS syringe,Not Recorded,none,212,,,
370,CefTAZidime 2.25mg/0.1mL for Intravitreal inj.,cefTAZidime intravitreal,Not Recorded,0.1 mL,9,mL,0.1,
371,CefaZOLIN 1gm/50 mL Iso-Dex,cefaZOLIN in iso-dex,Not Recorded,50 mL,98944,mL,50,
372,CefaZOLIN 20mg/mL/NS neonate syringe,cefaZOLIN in NS syringe,Not Recorded,none,25,,,
373,Cefazolin 2 gm/NS IVPB,cefazolin in ns,Not Recorded,none,3551,,,
374,Cefepime 2gm Desensitization Rx Protocol- initiate,Cefepime 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,2,,,
375,Cefotaxime 1 gm inj,cefotaxime,Not Recorded,none,6,,,
376,Cefotaxime 50mg/mL neonate syringe,cefotaxime in syringe,Not Recorded,none,108,,,
377,Cefoxitin 1gm in Iso Dex,cefoxitin in iso dex,Not Recorded,none,2264,,,
378,Cefoxitin 1gm in NS,cefOXitin in NS,Not Recorded,none,57,,,
379,Cefoxitin 2gm in Iso Dex,cefoxitin in iso dex,Not Recorded,none,8513,,,
380,Cefoxitin 2gm in NS,cefOXitin in NS,Not Recorded,none,1000,,,
381,Ceftaroline 400 mg inj,ceftaroline,Not Recorded,none,6123,,,
382,Ceftaroline 600 mg inj,ceftaroline,Not Recorded,none,17749,,,
383,Ceftazidime 10mg/mL 2mL lock soln.,ceftazidime lock soln.,Not Recorded,2 mL,5,mL,2,
384,Ceftolozane-Tazobactam 1500mg inj,ceftolozane-tazobactam,Not Recorded,none,6239,,,
385,Ceftriaxone 1gm/ 50mL NS,ceftriaxone in NS,Not Recorded,50 mL,2105,mL,50,
386,Ceftriaxone 1gm/50 mL Iso-Dex,ceftriaxone in iso-dex,Not Recorded,50 mL,52262,mL,50,
387,Ceftriaxone 1gm/50 mL NS,ceftriaxone in NS,Not Recorded,50 mL,20410,mL,50,
388,Ceftriaxone 250 mg for neonate,ceftriaxone,Not Recorded,none,2,,,
389,Ceftriaxone 250 mg inj,ceftriaxone,Not Recorded,none,208,,,
390,Ceftriaxone 250mg/mL IM neonate syringe,ceftriaxone,Not Recorded,none,9,,,
391,Ceftriaxone 2gm/50 mL Iso-Dex,ceftriaxone in Iso-Dex,Not Recorded,50 mL,47463,mL,50,
392,Ceftriaxone 2gm/50 mL NS,ceftriaxone in NS,Not Recorded,50 mL,11746,mL,50,
393,Ceftriaxone 40mg/mL/ neonate syringe,ceftriaxone in syringe,Not Recorded,none,2,,,
394,Ceftriaxone 40mg/mL/NS neonate syringe,ceftriaxone in NS syringe,Not Recorded,none,1,,,
395,Cefuroxime 1500 mg inj,cefuroxime,Not Recorded,none,10250,,,
396,Cefuroxime 1500mg/NS 100mL IVPB,cefuroxime in ns,Not Recorded,100 mL,35271,mL,100,
397,Cefuroxime 750 mg inj,cefuroxime,Not Recorded,none,23,,,
398,Cefuroxme 1.5 gm/50 mL Iso-Dex,cefuroxime in iso-dex,Not Recorded,50 mL,1946,mL,50,
399,Celecoxib 100 mg cap,celecoxib,Not Recorded,none,3,,,
400,Celecoxib 200 mg cap,celecoxib,Not Recorded,none,32,,,
401,Central Parenteral Nutrition,Central Parenteral Nutrition (hyperal),Not Recorded,85 mL/hr,1352817,mL/hr,85,imputed
402,Central TPN,Central TPN,Not Recorded,none,127859,,,
403,Cetuximab 2 mg/mL 100mL,cetuximab,Not Recorded,100 mL,3,mL,100,
404,Chloramphenicol 1gm inj,chloramphenicol,Not Recorded,none,9,,,
405,Chloraseptic throat spray,chloraseptic,Not Recorded,none,1,,,
406,Chloroprocane-MPF 3% inj,chloroprocaine 3%,Not Recorded,none,2,,,
407,Chlorothiazide 125 mg in syringe,chlorothiazide syringe,Not Recorded,none,841,,,
408,Chlorothiazide 250 mg in syringe,chlorothiazide syringe,Not Recorded,none,3396,,,
409,Chlorothiazide 250 mg tab,chlorothiazide,Not Recorded,none,1,,,
410,Chlorothiazide 50 mg/1 mL liq Extemp,chlorothiazide,Not Recorded,1 mL,5,mL,1,
411,Chlorothiazide 500 mg inj,chlorothiazide,Not Recorded,none,29588,,,
412,Chlorothiazide 500 mg injection,chlorothiazide,Not Recorded,none,3087,,,
413,ChlorproMAZINE 25 mg/1 mL inj,chlorproMAZINE,Not Recorded,1 mL,197,mL,1,
414,Chromic 4 mcg/ml Inj,chromic chloride,Not Recorded,none,114,,,
415,Cidofovir 375 mg/ 5mL inj,cidofovir,Not Recorded,5 mL,45,mL,5,
416,Ciprofloxacin 200 mg/20 mL inj,ciprofloxacin,Not Recorded,20 mL,12,mL,20,
417,Ciprofloxacin 400 mg/40 mL inj,ciprofloxacin,Not Recorded,40 mL,33,mL,40,
418,Ciprofloxacin 500 mg tab,ciprofloxacin,Not Recorded,none,1,,,
419,Cisatracurium 10 mg/mL  20 mL inj,cisatracurium,Microgram/Kilogram/Minute,20 mL,135832,mL,20,
420,Cisatracurium 2 mg/mL 10 mL inj,cisatracurium,Not Recorded,10 mL,714,mL,10,
421,Cisatracurium 2mg/mL 10mL syringe,cisatracurium,Not Recorded,10 mL,5,mL,10,
422,Citric Acid-Na Citrate (Bicitra)30 mL,citric acid-na citrate,Not Recorded,30 mL,19,mL,30,
423,Cladribine 10 mg/10 mL inj,cladribine,Not Recorded,10 mL,10,mL,10,
424,Clindamycin 15 mg/mL 100mL susp,clindamycin,Not Recorded,100 mL,1,mL,100,
425,Clindamycin 600 mg inj,clindamycin,Not Recorded,none,578,,,
426,Clindamycin 600 mg/50 mL D5W,clindamycin in d5w,Not Recorded,50 mL,28328,mL,50,
427,Clindamycin 900 mg inj,clindamycin,Not Recorded,none,747,,,
428,Clindamycin 900 mg/50 mL D5W,clindamycin in d5w,Not Recorded,50 mL,40914,mL,50,
429,Clindamycin 900 mg/50mL NS IVPB,clindamycin in ns,Not Recorded,50 mL,7960,mL,50,
430,ClonIDINE 0.3 mg/24 hr patch,clonIDINE,Not Recorded,none,1,,,
431,ClonIDINE HCl 0.1 mg tab,clonIDINE,Not Recorded,none,3,,,
432,ClonIDINE HCl 0.2 mg tab,clonIDINE,Not Recorded,none,2,,,
433,Clopidogrel 300mg tablet,clopidogrel,Not Recorded,none,1,,,
434,Clopidogrel 75 mg tab,clopidogrel,Not Recorded,none,2,,,
435,Coagulation Factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,215,,,
436,Coagulation Factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,231,,,
437,Coagulation Factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,42,,,
438,Coagulation factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,49,,,
439,Coagulation factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,642,,,
440,Coagulation factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,14,,,
441,Coagulation factor 7a (VIIa) 8000 mcg,coagulation factor VIIa,Not Recorded,none,8,,,
442,Cocaine 4% 4 mL top solution,cocaine 4%,Not Recorded,4 mL,14,mL,4,
443,Colistimethate 150 mg for Inhalation syringe,colistimethate inhalation in syringe,Not Recorded,none,1,,,
444,Colistimethate 150 mg inj,colistimethate,Not Recorded,none,12062,,,
445,Conivaptan 20mg/D5W 100mL,conivaptan/d5w,Not Recorded,100 mL,64,mL,100,
446,Copper chloride 0.4mg/mL 10mL inj,copper chloride,Not Recorded,10 mL,1186,mL,10,
447,Copper sulfate 0.4 mg/mL inj,copper sulfate,Not Recorded,none,5,,,
448,Corticorelin 100 mcg/2 mL  inj,corticorelin,Not Recorded,2 mL,2,mL,2,
449,Cosyntropin 0.25 mg inj,cosyntropin,Not Recorded,none,3176,,,
450,Cosyntropin 1mcg/mL/NS neonate syringe,cosyntropin in NS syringe,Not Recorded,none,2,,,
451,Cyanide Antidote Kit,sod thio-sod-amyl-nitr,Not Recorded,none,1,,,
452,"Cyanocobalamin 1,000 mcg/1 mL inj",cyanocobalamin,Not Recorded,1 mL,94,mL,1,
453,Cyanocobalamin 100 mcg tab,cyanocobalamin,Not Recorded,none,1,,,
454,Cyanocobalamin 1000 mcg tab,cyanocobalamin,Not Recorded,none,4,,,
455,CycloPHOSphamide 1gm/50 mL inj,cycloPHOSphamide,Not Recorded,50 mL,11472,mL,50,
456,CycloPHOSphamide 2 gm inj,cycloPHOSphamide,Not Recorded,none,2,,,
457,CycloSPORINE 100 mg/mL Sol(Sandimmune) 50 mL,cycloSPORINE,Not Recorded,50 mL,1,mL,50,
458,CycloSPORINE 250 mg/5 mL inj,cycloSPORINE,Not Recorded,5 mL,3077,mL,5,
459,Cyclophosphamide 500 mg inj,cyclophosphamide,Not Recorded,none,418,,,
460,Cyclophosphamide 500mg/25mL inj,cyclophosphamide,Not Recorded,25 mL,11,mL,25,
461,Cytarabine 100 mg / 5 mL inj,cytarabine,Not Recorded,5 mL,388,mL,5,
462,Cytarabine 2000 mg/20 mL inj,cytarabine,Not Recorded,20 mL,10392,mL,20,
463,Cytarabine 500 mg / 5 mL  inj,cytarabine,Not Recorded,5 mL,49,mL,5,
464,Cytomegalvirus Glob 2.5gm/50mL IV,cytomegalovirus globulin,Not Recorded,50 mL,345,mL,50,
465,D10W 0.2%NS 250  mL bag,d10.2ns,Not Recorded,250 mL,293,mL,250,
466,D10W 0.45%NS 250mL,D10W 0.45%NS,Not Recorded,250 mL,1,mL,250,
467,D10W 1000 mL IV bag,d10w,Not Recorded,1000 mL,202556,mL,1000,
468,D10W 25 gm/250 mL inj,D10W,Not Recorded,250 mL,7683,mL,250,
469,D10W 500 mL iv bag,d10w,Not Recorded,500 mL,9212,mL,500,
470,D12.5W 0.2%NS 250mL,D12.5W 0.2%NS,Not Recorded,250 mL,16,mL,250,
471,D12.5W 0.45%NS 250mL,D12.5W 0.45%NS,Not Recorded,250 mL,20,mL,250,
472,D12.5W 250ml,D12.5W,Not Recorded,250 mL,1,mL,250,
473,D15%W 250 ml,D15W,Not Recorded,250 mL,1,mL,250,
474,D20W 0.2%NS 250mL,D20W 0.2%NS,Not Recorded,250 mL,6,mL,250,
475,D20W 250mL,D20W,Not Recorded,250 mL,218,mL,250,
476,D20W 500 mL IV bag,dextrose 20%,Not Recorded,500 mL,51454,mL,500,
477,D25W 250mL,D25W,Not Recorded,250 mL,2,mL,250,
478,D5.2NS + 20 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded,1000 mL,745,mL,1000,
479,D5.2NS + 40 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded,1000 mL,116,mL,1000,
480,D5.2NS 1000 mL IV bag,d5.2ns,Not Recorded,1000 mL,11363,mL,1000,
481,D5.2NS 500 mL IV bag,d5.2ns,Not Recorded,500 mL,55,mL,500,
482,D5.45NS + 10 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,1000 mL,45322,mL,1000,
483,D5.45NS + 20 mEq KCl 1000 ml  IV,d5.45ns + kcl,Not Recorded,1000 mL,806311,mL,1000,
484,D5.45NS + 30 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,1000 mL,1609,mL,1000,
485,D5.45NS + 40 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,1000 mL,20045,mL,1000,
486,D5.45NS 1000 mL IV bag,d5.45ns,Not Recorded,1000 mL,1151341,mL,1000,
487,D5.45NS 1000 mL for chemo,d5.45ns,Not Recorded,1000 mL,1510,mL,1000,
488,D5.45NS 500 mL IV bag,d5.45ns,Not Recorded,500 mL,1915,mL,500,
489,D5LR + 20 mEq KCl 1000mL,d5lr + kcl,Not Recorded,1000 mL,2985,mL,1000,
490,D5LR 1000 mL IV bag,d5lr,Not Recorded,1000 mL,170271,mL,1000,
491,D5LR 500 mL iv bag,D5LR,Not Recorded,500 mL,115,mL,500,
492,D5NS 1000 mL IV bag,d5ns,Not Recorded,1000 mL,448514,mL,1000,
493,D5NS 500 mL IV bag,d5ns,Not Recorded,500 mL,1043,mL,500,
494,D5NS+20 mEq KCl 1000 mL IV bag,d5ns + kcl,Not Recorded,1000 mL,63122,mL,1000,
495,D5W + 20 mEq KCl 1000 mL IV bag,d5w + kcl,Not Recorded,1000 mL,10295,mL,1000,
496,D5W 100 mL (Polyolefin),d5w (polyolefin),Not Recorded,100 mL,23702,mL,100,
497,D5W 100 mL IV bag,d5w,Not Recorded,100 mL,34853,mL,100,
498,D5W 100 mL IV bag chemo,d5w,Not Recorded,100 mL,114,mL,100,
499,D5W 1000 mL (Polyolefin),d5w (polyolefin),Not Recorded,1000 mL,160,mL,1000,
500,D5W 1000 mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded,1000 mL,15,mL,1000,
501,D5W 1000 mL IV bag,d5w,Not Recorded,1000 mL,711070,mL,1000,
502,D5W 1000 mL IV bag for chemo,d5w,Not Recorded,1000 mL,221,mL,1000,
503,D5W 150 mL IV bag,d5w,Not Recorded,150 mL,2668,mL,150,
504,D5W 150 mL IV bag for chemo,d5w,Not Recorded,150 mL,58,mL,150,
505,D5W 250 mL IV bag,d5w,Not Recorded,250 mL,195577,mL,250,
506,D5W 250 mL IV bag for chemo,d5w,Not Recorded,250 mL,350,mL,250,
507,D5W 250mL (Polyolefin),d5w (polyolefin),Not Recorded,250 mL,639400,mL,250,
508,D5W 250mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded,250 mL,223,mL,250,
509,D5W 50 mL IV bag,d5w,Not Recorded,50 mL,30895,mL,50,
510,D5W 50 mL IV bag for chemo,d5w,Not Recorded,50 mL,584,mL,50,
511,D5W 50 mL IV bottle,d5w btl,Not Recorded,50 mL,3,mL,50,
512,D5W 500 mL (Polyolefin),d5w (polyolefin),Not Recorded,500 mL,557952,mL,500,
513,D5W 500 mL (Polyolefin) for chemo,d5w (polyolefin) for chemo,Not Recorded,500 mL,782,mL,500,
514,D5W 500 mL IV bag,d5w,Not Recorded,500 mL,29085,mL,500,
515,D5W 500 mL IV bag for chemo,d5w,Not Recorded,500 mL,483,mL,500,
516,D5W 50mL (Polyolefin),d5w (polyolefin),Not Recorded,50 mL,7,mL,50,
517,D70W 1000mL IV bag,d70w,Not Recorded,1000 mL,264,mL,1000,
518,D70W 2000 mL IV bag,d70w,Not Recorded,2000 mL,419,mL,2000,
519,D70W 500 mL IV bag,d70w,Not Recorded,500 mL,118,mL,500,
520,DACTINOmycin 0.5 mg inj,DACTINOmycin,Not Recorded,none,44,,,
521,DAPTOmycin 350 mg inj,DAPTOmycin,Not Recorded,none,16976,,,
522,DAPTOmycin 50 mg/mL inj,DAPTOmycin,Not Recorded,none,2526,,,
523,DAUNOrubicin 20 mg inj,DAUNOrubicin,Not Recorded,none,240,,,
524,DAUNOrubicin 5 mg/ml injection,DAUNOrubicin,Not Recorded,none,94,,,
525,DOBUTamine 250 mg/20 mL inj,DOBUTamine,Microgram/Kilogram/Minute,20 mL,27450,mL,20,
526,DOBUTamine 250 mg/20 mL inj ADD,DOBUTamine,Not Recorded,20 mL,54,mL,20,
527,DOCEtaxel 10 mg/mL inj,DOCEtaxel,Not Recorded,none,8,,,
528,DOCEtaxel 20mg/1mL inj,DOCEtaxel,Not Recorded,1 mL,36,mL,1,
529,DOCEtaxel 80mg/4mL inj,DOCEtaxel,Not Recorded,4 mL,38,mL,4,
530,DOPamine 200 mg/5mL inj,DOPamine,Microgram/Kilogram/Minute,5 mL,996,mL,5,
531,DOPamine 400 mg/5 mL inj,DOPamine,Microgram/Kilogram/Minute,5 mL,1740,mL,5,
532,DOPamine 400mg/10mL inj,DOPamine,Microgram/Kilogram/Minute,10 mL,1526,mL,10,
533,DOXOrubicin  LYOPH 50mg for orderset only,DOXOrubicin LYOPH,Not Recorded,none,2,,,
534,DOXOrubicin  LYOPHILIZED 50mg inj,DOXOrubicin LYOPH,Not Recorded,none,22,,,
535,DOXOrubicin 2 mg/mL PF 25mL for orderset only,DOXOrubicin,Not Recorded,25 mL,112,mL,25,
536,DOXOrubicin 2 mg/mL PF soln. 25mL,DOXOrubicin,Not Recorded,25 mL,7396,mL,25,
537,DOXOrubicin PFS 10 mg/5 mL inj,DOXOrubicin,Not Recorded,5 mL,737,mL,5,
538,DOXOrubicin liposomal 2 mg/mL (Lipodox),DOXOrubicin liposomal,Not Recorded,none,11,,,
539,DOXOrubicin liposomal 20mg/ 10 mL inj,DOXOrubicin hcl liposome,Not Recorded,10 mL,78,mL,10,
540,Dacarbazine 200mg inj,dacarbazine,Not Recorded,none,90,,,
541,Dalbavancin 500 mg/25ml  inj,dalbavancin,Not Recorded,25 mL,162,mL,25,
542,Dalfopristin-Quinupristin 500 mg inj,dalfopristin-quinupristin,Not Recorded,none,20,,,
543,Dantrolene 100 mg cap,dantrolene,Not Recorded,none,1,,,
544,Dantrolene 20 mg inj,dantrolene,Not Recorded,none,40,,,
545,Dantrolene 250 mg inj,dantrolene,Not Recorded,none,44,,,
546,Daptomycin 500mg for IVPB,daptomycin,Not Recorded,none,15274,,,
547,Daptomycin 5mg/ml /LR 2mL lock soln.,daptomycin in LR lock soln.,Not Recorded,2 mL,7,mL,2,
548,Daratumumab 400mg/20mL inj.,daratumumab,Not Recorded,20 mL,4,mL,20,
549,Darbepoetin Alfa 25 mcg/0.42 mL syr.,darbepoetin alfa,Not Recorded,0.42 mL,47,mL,0.42,
550,Darbepoetin Alfa 40 mcg/0.4 mL syr.,darbepoetin alfa,Not Recorded,0.4 mL,219,mL,0.4,
551,Darbepoetin Alfa 40 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded,0.4 mL,2,mL,0.4,
552,Darbepoetin alfa 100 mcg/0.5 mL syr. For Dialysis,darbepoetin alfa,Not Recorded,0.5 mL,106,mL,0.5,
553,Darbepoetin alfa 100 mcg/0.5 mL syringe,darbepoetin alfa,Not Recorded,0.5 mL,145,mL,0.5,
554,Darbepoetin alfa 100 mcg/0.5 mL syringe- APPRISE,darbepoetin alfa,Not Recorded,0.5 mL,3,mL,0.5,
555,Darbepoetin alfa 150 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded,0.3 mL,11,mL,0.3,
556,Darbepoetin alfa 200 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded,0.4 mL,13,mL,0.4,
557,Darbepoetin alfa 60 mcg/0.3 mL syr.,darbepoetin alfa,Not Recorded,0.3 mL,1340,mL,0.3,
558,Darbepoetin alfa 60 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded,0.3 mL,29,mL,0.3,
559,Decitabine 50mg inj,decitabine,Not Recorded,none,2107,,,
560,Deferoxamine 500 mg inj,deferoxamine,Not Recorded,none,184,,,
561,Description Missing,Description Missing,Not Recorded,none,1,,,
562,Desmopressin 0.1 mg tab,desmopressin,Not Recorded,none,4,,,
563,Desmopressin 0.4 mcg/mL SubQ syringe,desmopress in syringe,Not Recorded,none,54,,,
564,Desmopressin 10mcg/inh 5mL nasal,desmopressin,Not Recorded,5 mL,2,mL,5,
565,Desmopressin 4 mcg/mL IV in syringe,desmopressin in syringe,Not Recorded,none,449,,,
